,True,Predicted,Cat
93,1,0.3892028331756592,hard to interpret
94,0,0.38910579681396484,basic
95,1,0.3891390264034271,emoji
96,1,0.38897261023521423,basic
97,1,0.3890458047389984,hard to interpret
98,0,0.3891756236553192,code-switching
99,0,0.3891249895095825,exaggeration
100,1,0.38921868801116943,double meaning
101,1,0.389197438955307,slang
102,1,0.38888245820999146,emoji
103,1,0.3887154459953308,replacement
104,1,0.38886621594429016,replacement
105,1,0.38874179124832153,replacement
106,1,0.38897329568862915,replacement
107,1,0.3884877860546112,replacement
108,1,0.3887508511543274,replacement
109,1,0.38846784830093384,replacement
110,1,0.3884812593460083,replacement
111,1,0.38847705721855164,replacement
112,1,0.3889654278755188,replacement
113,1,0.38910070061683655,replacement
114,0,0.3883730173110962,replacement
115,0,0.3883715867996216,replacement
116,0,0.38847848773002625,replacement
117,0,0.3885982632637024,replacement
118,0,0.3884201943874359,replacement
119,0,0.38898998498916626,replacement
120,0,0.38878095149993896,replacement
121,0,0.3884606957435608,replacement
122,0,0.38847389817237854,replacement
123,0,0.38847506046295166,replacement
124,0,0.38863712549209595,replacement
125,0,0.3888746500015259,replacement
126,1,0.38871264457702637,misspelling
127,0,0.3886546790599823,misspelling
128,1,0.3889673054218292,misspelling
129,1,0.38882073760032654,misspelling
130,1,0.38894298672676086,misspelling
131,1,0.38882672786712646,misspelling
132,1,0.38894858956336975,misspelling
133,1,0.38873812556266785,misspelling
134,0,0.3886958062648773,misspelling
135,1,0.3889801800251007,misspelling
136,0,0.38862836360931396,misspelling
137,0,0.3885878026485443,misspelling
138,0,0.38891178369522095,misspelling
139,0,0.3890557885169983,misspelling
140,1,0.38885897397994995,misspelling
141,0,0.3884016275405884,misspelling
142,0,0.3885979652404785,misspelling
143,0,0.38898199796676636,misspelling
144,1,0.3891136050224304,misspelling
145,1,0.38894107937812805,misspelling
146,1,0.3889586925506592,misspelling
147,0,0.3887592554092407,misspelling
148,0,0.3890236020088196,misspelling
149,0,0.3885660767555237,misspelling
150,1,0.388984352350235,misspelling
151,0,0.388683557510376,misspelling
152,1,0.38836365938186646,misspelling
153,0,0.38828951120376587,misspelling
154,0,0.3883994519710541,misspelling
155,1,0.3893289566040039,misspelling
156,0,0.38886362314224243,misspelling
157,1,0.3887164890766144,misspelling
158,1,0.38878145813941956,misspelling
159,0,0.3885751962661743,misspelling
160,1,0.38919201493263245,misspelling
161,0,0.3890576958656311,misspelling
162,0,0.38881242275238037,misspelling
163,1,0.3888891041278839,misspelling
164,0,0.38885417580604553,misspelling
165,1,0.38893112540245056,misspelling
166,1,0.38898831605911255,misspelling
167,0,0.38846245408058167,misspelling
168,0,0.38879066705703735,misspelling
169,0,0.3890846073627472,misspelling
170,0,0.38898593187332153,misspelling
171,1,0.3892962634563446,misspelling
172,1,0.38866549730300903,misspelling
173,0,0.38903483748435974,misspelling
174,0,0.38895055651664734,misspelling
175,1,0.38845962285995483,negation
176,1,0.3888101577758789,negation
177,0,0.38876134157180786,negation
178,0,0.3890167772769928,negation
179,0,0.3890461027622223,negation
180,1,0.3887190818786621,negation
181,0,0.38905543088912964,negation
182,0,0.38889145851135254,negation
183,1,0.3884773254394531,negation
184,0,0.3888767957687378,negation
185,0,0.3892248570919037,negation
186,0,0.388974130153656,negation
187,0,0.38887888193130493,negation
188,1,0.3885786235332489,negation
189,0,0.38883790373802185,negation
190,0,0.38916394114494324,negation
191,0,0.3890053629875183,negation
192,0,0.3890029788017273,negation
193,0,0.3887331485748291,negation
194,0,0.3888856768608093,negation
195,1,0.3886539936065674,negation
196,0,0.3884928226470947,negation
197,0,0.38899052143096924,negation
198,1,0.38878488540649414,negation
199,0,0.38847023248672485,negation
200,1,0.3886866271495819,negation
201,0,0.38914042711257935,negation
202,0,0.38867929577827454,negation
203,1,0.388955295085907,negation
204,1,0.38839444518089294,negation
205,1,0.3886328637599945,negation
206,0,0.389043927192688,negation
207,0,0.38914936780929565,negation
208,0,0.38878434896469116,negation
209,1,0.3886594772338867,negation
210,0,0.3891304135322571,negation
211,0,0.3890641927719116,negation
212,1,0.3887103497982025,negation
213,0,0.3885648250579834,negation
214,0,0.38900643587112427,negation
215,0,0.3889736831188202,negation
216,0,0.3891790509223938,negation
217,0,0.38906529545783997,negation
218,1,0.3887111246585846,negation
219,1,0.38872602581977844,negation
220,1,0.38885316252708435,negation
221,0,0.38885557651519775,negation
222,0,0.38876038789749146,negation
223,1,0.38893795013427734,negation
224,1,0.3887234926223755,negation
225,0,0.3890659809112549,negation
226,0,0.38923048973083496,negation
227,0,0.38904014229774475,negation
228,1,0.38903573155403137,negation
229,1,0.3888997435569763,negation
230,0,0.3888607621192932,negation
231,0,0.38909053802490234,negation
232,1,0.38903239369392395,negation
233,1,0.38902419805526733,negation
234,1,0.3890015482902527,negation
235,1,0.3890834450721741,misspelling
236,0,0.3890834450721741,misspelling
237,1,0.3891066312789917,misspelling
238,0,0.3891066312789917,misspelling
239,1,0.38915544748306274,misspelling
240,0,0.3891494870185852,misspelling
241,0,0.38892653584480286,negation (not + pos_adj)
242,0,0.3889414668083191,negation (not + pos_adj)
243,0,0.3889649510383606,negation (not + pos_adj)
244,0,0.3890305757522583,negation (not + pos_adj)
245,0,0.38895803689956665,negation (not + pos_adj)
246,0,0.38897156715393066,negation (not + pos_adj)
247,0,0.3889696002006531,negation (not + pos_adj)
248,0,0.3890550136566162,negation (not + pos_adj)
249,0,0.38895949721336365,negation (not + pos_adj)
250,0,0.38900333642959595,negation (not + pos_adj)
251,0,0.3890249729156494,negation (not + pos_adj)
252,0,0.3889318108558655,negation (not + pos_adj)
253,0,0.38898906111717224,negation (not + pos_adj)
254,0,0.38900691270828247,negation (not + pos_adj)
255,0,0.3890282213687897,negation (not + pos_adj)
256,0,0.38903775811195374,negation (not + pos_adj)
257,0,0.38892871141433716,negation (not + pos_adj)
258,0,0.3890330195426941,negation (not + pos_adj)
259,0,0.3890158236026764,negation (not + pos_adj)
260,0,0.38890689611434937,negation (not + pos_adj)
261,0,0.3890300393104553,negation (not + pos_adj)
262,0,0.38891810178756714,negation (not + pos_adj)
263,0,0.38896840810775757,negation (not + pos_adj)
264,0,0.38910743594169617,negation (not + pos_adj)
265,0,0.3890211582183838,negation (not + pos_adj)
266,0,0.38896965980529785,hopes vs reality
267,0,0.38904768228530884,hopes vs reality
268,0,0.38905370235443115,hopes vs reality
269,0,0.38898587226867676,hopes vs reality
270,0,0.3890705406665802,hopes vs reality
271,0,0.38903000950813293,hopes vs reality
272,0,0.389028936624527,hopes vs reality
273,0,0.3890705406665802,hopes vs reality
274,0,0.38905322551727295,hopes vs reality
275,0,0.3890451192855835,hopes vs reality
276,0,0.38906025886535645,hopes vs reality
277,0,0.3890705406665802,hopes vs reality
278,0,0.3890250623226166,hopes vs reality
279,0,0.3889981508255005,hopes vs reality
280,0,0.3890705406665802,hopes vs reality
281,0,0.38906025886535645,hopes vs reality
282,0,0.38904985785484314,hopes vs reality
283,0,0.3890349864959717,hopes vs reality
284,0,0.3890780210494995,hopes vs reality
285,0,0.38902202248573303,hopes vs reality
286,0,0.3890383243560791,hopes vs reality
287,0,0.3890042304992676,hopes vs reality
288,0,0.3890508711338043,hopes vs reality
289,0,0.38904985785484314,hopes vs reality
290,0,0.38904985785484314,hopes vs reality
291,1,0.38899528980255127,typos
292,0,0.3886276185512543,typos
293,1,0.3888838589191437,typos
294,0,0.38875147700309753,typos
295,1,0.3891507685184479,typos
296,1,0.38921448588371277,typos
297,1,0.3889564573764801,typos
298,0,0.38852381706237793,typos
299,1,0.3887205123901367,typos
300,1,0.3891875743865967,typos
301,0,0.3889724314212799,typos
302,1,0.3892010450363159,typos
303,0,0.3889240622520447,typos
304,1,0.3887209892272949,typos
305,1,0.389174222946167,typos
306,1,0.388603538274765,typos
307,1,0.3887002766132355,typos
308,0,0.38865071535110474,typos
309,1,0.3889930248260498,typos
310,0,0.3886082172393799,typos
311,1,0.3888314664363861,typos
312,1,0.38902026414871216,typos
313,1,0.3888328969478607,typos
314,0,0.3884660005569458,typos
315,1,0.38894224166870117,typos
316,0,0.38877975940704346,irony
317,0,0.38836026191711426,irony
318,0,0.38876456022262573,irony
319,0,0.38865020871162415,irony
320,1,0.3884408473968506,irony
321,1,0.38888534903526306,irony
322,0,0.3888441324234009,irony
323,1,0.3883495032787323,irony
324,1,0.3885679841041565,irony
325,0,0.3887180685997009,irony
326,0,0.3886948525905609,irony
327,0,0.38888564705848694,irony
328,0,0.3886483311653137,irony
329,0,0.3885989785194397,irony
330,0,0.3886435627937317,irony
331,1,0.3887392282485962,irony
332,0,0.388605535030365,irony
333,1,0.388808935880661,irony
334,1,0.38882172107696533,irony
335,0,0.3888421356678009,irony
336,0,0.3888334035873413,irony
337,0,0.38889604806900024,irony
338,0,0.3888433575630188,irony
339,0,0.3887195885181427,irony
340,1,0.3887587785720825,irony
341,0,0.3890186548233032,negation at the end
342,0,0.3890381455421448,negation at the end
343,0,0.38902562856674194,negation at the end
344,0,0.38891297578811646,negation at the end
345,0,0.38901588320732117,negation at the end
346,0,0.3888911008834839,negation at the end
347,1,0.3889293074607849,negation at the end
348,0,0.3890872895717621,negation at the end
349,1,0.389035165309906,negation at the end
350,1,0.3889252841472626,negation at the end
351,0,0.3889584541320801,negation at the end
352,1,0.38909322023391724,emoji
353,0,0.38910752534866333,emoji
354,0,0.38906389474868774,emoji
355,1,0.3891066312789917,emoji
356,0,0.3890205919742584,emoji
357,1,0.38917848467826843,emoji
358,0,0.3891492486000061,emoji
359,0,0.38914039731025696,emoji
360,1,0.3891703486442566,emoji
361,0,0.3890635371208191,emoji
362,1,0.388990581035614,emoji
363,0,0.38917219638824463,emoji
364,1,0.3892962634563446,emoji
365,0,0.3892962634563446,emoji
366,0,0.38910597562789917,emoji
367,1,0.3890695571899414,emoji
368,1,0.389146625995636,emoji
369,1,0.38915061950683594,emoji
370,0,0.3891487419605255,emoji
371,1,0.3890498876571655,emoji
372,0,0.3891822397708893,emoji
373,1,0.3891218304634094,emoji
374,1,0.3890754282474518,emoji
375,1,0.3892962634563446,emoji
376,1,0.3890734612941742,emoji
377,1,0.3892962634563446,emoji
378,1,0.3891679048538208,emoji
379,0,0.3889840245246887,strong words
380,0,0.3890184760093689,strong words
381,1,0.3891541063785553,strong words
382,1,0.3889334797859192,strong words
383,1,0.3888876736164093,strong words
384,0,0.3890787959098816,strong words
385,0,0.3890787959098816,strong words
386,0,0.38901907205581665,strong words
387,0,0.3890787959098816,strong words
388,0,0.3890787959098816,strong words
389,0,0.3890787959098816,strong words
390,0,0.38903987407684326,strong words
391,0,0.3890787959098816,strong words
392,0,0.3890726566314697,strong words
393,0,0.3890787959098816,strong words
394,0,0.38901907205581665,strong words
395,0,0.38904500007629395,strong words
396,0,0.3890787959098816,strong words
397,0,0.3890787959098816,strong words
398,0,0.3890787959098816,strong words
399,0,0.3890787959098816,strong words
400,0,0.3890787959098816,strong words
401,0,0.3890787959098816,strong words
402,0,0.3890787959098816,strong words
403,0,0.3890787959098816,strong words
404,1,0.3891129493713379,strong words
405,1,0.38906627893447876,strong words
406,1,0.3891129493713379,strong words
407,1,0.3891129493713379,strong words
408,1,0.3891129493713379,strong words
409,1,0.3891129493713379,strong words
410,1,0.3891129493713379,strong words
411,1,0.3891129493713379,strong words
412,1,0.3891129493713379,strong words
413,1,0.38907390832901,strong words
414,1,0.3891129493713379,strong words
415,1,0.3891129493713379,strong words
416,1,0.3891129493713379,strong words
417,1,0.3891129493713379,strong words
418,1,0.3891129493713379,strong words
419,1,0.3891129493713379,strong words
420,1,0.3891129493713379,strong words
421,1,0.3891129493713379,strong words
422,1,0.38906627893447876,strong words
423,1,0.3891129493713379,strong words
424,1,0.3891317546367645,double negation
425,1,0.3888271749019623,double negation
426,1,0.38893625140190125,double negation
427,0,0.3888636827468872,double negation
428,1,0.38923829793930054,double negation
429,1,0.389133095741272,double negation
430,1,0.3889865279197693,double negation
431,0,0.3889254927635193,double negation
432,1,0.3889791965484619,double negation
433,1,0.3891695737838745,double negation
434,1,0.3890932500362396,double negation
435,1,0.38897705078125,double negation
436,1,0.3890056014060974,double negation
437,0,0.3889060616493225,double negation
438,1,0.3890877366065979,double negation
439,1,0.38890916109085083,double negation
440,1,0.3886963427066803,spelling
441,0,0.3887515366077423,spelling
442,0,0.3889673948287964,spelling
443,1,0.3889993131160736,spelling
444,0,0.38867712020874023,spelling
445,0,0.38857340812683105,spelling
446,1,0.3892962634563446,spelling
447,0,0.3885195255279541,spelling
448,0,0.3886358141899109,spelling
449,1,0.38851892948150635,spelling
450,0,0.3888911008834839,spelling
451,1,0.3891603350639343,spelling
452,1,0.38903170824050903,spelling
453,1,0.3890562951564789,spelling
454,0,0.3885990381240845,spelling
455,1,0.3888552784919739,spelling
456,1,0.38912683725357056,spelling
457,1,0.38920193910598755,spelling
458,1,0.3889607787132263,spelling
459,1,0.38887664675712585,spelling
460,1,0.38907158374786377,spelling
461,1,0.3888634443283081,spelling
462,1,0.3892962634563446,spelling
463,1,0.3892962634563446,spelling
464,1,0.38888993859291077,spelling
465,1,0.3891698122024536,spelling
466,0,0.38858872652053833,spelling
467,1,0.38884931802749634,spelling
468,0,0.38913318514823914,spelling
469,1,0.38916832208633423,spelling
470,1,0.38915953040122986,spelling
471,1,0.3890385329723358,spelling
472,0,0.3889247179031372,spelling
473,0,0.3888711929321289,spelling
474,1,0.3891969323158264,spelling
475,1,0.3889593780040741,spelling
476,0,0.38921791315078735,spelling
477,1,0.38831430673599243,spelling
478,1,0.3890141248703003,spelling
479,1,0.3892099857330322,spelling
480,0,0.38882964849472046,spelling
481,0,0.3887256681919098,spelling
482,1,0.38929641246795654,spelling
483,1,0.3889077603816986,spelling
484,1,0.3892962634563446,spelling
485,1,0.38923123478889465,spelling
486,1,0.38883835077285767,spelling
487,1,0.38868287205696106,spelling
488,1,0.3891063928604126,spelling
489,0,0.3892695903778076,spelling
490,1,0.3889055550098419,spelling
491,1,0.38895153999328613,spelling
492,1,0.38887372612953186,spelling
493,1,0.3892962634563446,spelling
494,1,0.3890349864959717,spelling
495,1,0.3892506957054138,spelling
496,1,0.3890599012374878,spelling
497,1,0.3893623352050781,spelling
498,0,0.38911691308021545,spelling
499,1,0.3887344002723694,spelling
500,0,0.38878685235977173,spelling
501,1,0.3892270028591156,spelling
502,1,0.38902029395103455,spelling
503,0,0.3888701796531677,spelling
504,1,0.3889794945716858,spelling
505,1,0.3888048529624939,spelling
506,1,0.3888927698135376,spelling
507,1,0.3892962634563446,spelling
508,0,0.38901597261428833,spelling
509,1,0.38873717188835144,spelling
510,1,0.3888474702835083,spelling
511,1,0.38883358240127563,spelling
512,0,0.3889089822769165,spelling
513,1,0.3889774978160858,spelling
514,1,0.38891714811325073,spelling
515,1,0.38858067989349365,spelling
516,0,0.3888908326625824,spelling
517,1,0.388948529958725,spelling
518,0,0.3890751600265503,spelling
519,0,0.38906174898147583,spelling
520,1,0.38922956585884094,spelling
521,1,0.38922858238220215,spelling
522,1,0.3891037702560425,spelling
523,0,0.3886268734931946,spelling
524,0,0.388827919960022,spelling
525,0,0.3888110816478729,spelling
526,1,0.38899528980255127,spelling
527,0,0.38887375593185425,spelling
528,0,0.38893598318099976,spelling
529,0,0.3887924551963806,spelling
530,0,0.3887707591056824,spelling
531,0,0.3889901340007782,spelling
532,1,0.3888787627220154,spelling
533,0,0.38928765058517456,spelling
534,0,0.3888206481933594,spelling
535,0,0.38895127177238464,spelling
536,1,0.38881856203079224,spelling
537,1,0.3888632357120514,spelling
538,1,0.3891691565513611,spelling
539,1,0.3890499174594879,spelling
540,1,0.38893380761146545,sentiment over time
541,0,0.3888666331768036,sentiment over time
542,0,0.38890594244003296,sentiment over time
543,0,0.38880470395088196,sentiment over time
544,1,0.3891206979751587,sentiment over time
545,0,0.3888661861419678,sentiment over time
546,0,0.3889070153236389,sentiment over time
547,1,0.388915479183197,sentiment over time
548,1,0.38884538412094116,sentiment over time
549,1,0.38886597752571106,sentiment over time
550,1,0.38888004422187805,sentiment over time
551,0,0.38879936933517456,sentiment over time
552,1,0.3888022005558014,sentiment over time
553,0,0.38881146907806396,sentiment over time
554,1,0.38876497745513916,sentiment over time
555,1,0.3889448642730713,sentiment over time
556,0,0.3888331651687622,sentiment over time
557,0,0.38885819911956787,sentiment over time
558,0,0.38882580399513245,sentiment over time
559,1,0.38878971338272095,sentiment over time
560,0,0.38891229033470154,negated negatives
561,1,0.3888949751853943,negated negatives
562,1,0.3890768885612488,negated negatives
563,1,0.3890228569507599,negated negatives
564,0,0.3890933394432068,negated negatives
565,1,0.3890132009983063,negated negatives
566,1,0.38900622725486755,negated negatives
567,0,0.3890039920806885,negated negatives
568,0,0.38896673917770386,negated negatives
569,0,0.38895314931869507,negated negatives
570,1,0.38914597034454346,negated negatives
571,1,0.3890666365623474,negated negatives
572,1,0.3890884518623352,negated negatives
573,0,0.38894766569137573,negated negatives
574,1,0.38906124234199524,negated negatives
575,0,0.3887571096420288,negated negatives
576,0,0.38904470205307007,negated negatives
577,1,0.3890678882598877,negated negatives
578,0,0.3889513611793518,negated negatives
579,1,0.3889707624912262,negated negatives
580,1,0.388976126909256,negated negatives
581,1,0.38902413845062256,negated negatives
582,1,0.38893893361091614,negated negatives
583,1,0.38903945684432983,negated negatives
584,0,0.38904353976249695,negated negatives
585,1,0.38897931575775146,negated negatives
586,1,0.3891231119632721,different languages
587,0,0.38896507024765015,different languages
588,1,0.3889215886592865,different languages
589,0,0.38889482617378235,different languages
590,1,0.3889802098274231,different languages
591,0,0.38889646530151367,different languages
592,0,0.38894617557525635,different languages
593,1,0.38917556405067444,different languages
594,0,0.3889320492744446,different languages
595,1,0.38911664485931396,different languages
596,1,0.3890484571456909,different languages
597,0,0.3889584541320801,different languages
598,1,0.38912639021873474,different languages
599,0,0.3889482617378235,different languages
600,1,0.38918161392211914,different languages
601,1,0.3892477750778198,different languages
602,0,0.3891378939151764,different languages
603,1,0.3890250325202942,different languages
604,0,0.3890693783760071,different languages
605,0,0.389028400182724,different languages
606,0,0.3889369070529938,negation
607,1,0.38932251930236816,typo
608,1,0.38923561573028564,typo
609,0,0.38903430104255676,temporal
610,1,0.3890827000141144,confusing
611,1,0.389019250869751,negation
612,0,0.3892531394958496,infrequent word
613,1,0.3889673948287964,infrequent word
614,0,0.389057993888855,temporal
615,1,0.3891969323158264,typo
616,0,0.38900578022003174,confusing
617,0,0.38899797201156616,confusing
618,0,0.3890360891819,temporal
619,0,0.3890015780925751,confusing
620,1,0.3888885974884033,confusing
621,0,0.3891409635543823,negation
622,1,0.3891115188598633,ironic
623,0,0.389066606760025,confusing
624,0,0.38903236389160156,confusing
625,0,0.38905999064445496,temporal
626,0,0.3891291320323944,confusing
627,1,0.3891237676143646,confusing
628,1,0.38913679122924805,slang
629,0,0.38913798332214355,slang
630,1,0.38916414976119995,slang
631,1,0.3892962634563446,slang
632,1,0.38911813497543335,slang
633,1,0.38908764719963074,slang
634,0,0.3891430199146271,confusing
635,0,0.3889996409416199,confusing
636,0,0.38888734579086304,confusing
637,1,0.3889608681201935,slang
638,1,0.3889874219894409,confusing
639,0,0.38898444175720215,confusing
640,1,0.38902202248573303,confusing
641,0,0.3889504373073578,confusing
642,0,0.38908645510673523,confusing
643,0,0.3889974057674408,confusing
644,0,0.38894546031951904,negation
645,0,0.38899892568588257,temporal
646,0,0.389032244682312,confusing
647,0,0.3890792429447174,confusing
648,0,0.38907644152641296,ironic
649,0,0.3889968991279602,temporal
650,1,0.38904592394828796,temporal
651,1,0.3889733850955963,negation
652,0,0.38893765211105347,temporal
653,1,0.3892545998096466,infrequent word
654,0,0.3889904022216797,typo
655,0,0.3891647458076477,temporal
656,1,0.38904955983161926,temporal
657,0,0.3891191780567169,temporal
658,0,0.3892374336719513,temporal
659,0,0.3889092206954956,infrequent word
660,1,0.38896453380584717,temporal
661,0,0.3891219198703766,ironic
662,1,0.389046847820282,temporal
663,0,0.3891461193561554,infrequent word
664,0,0.3890198767185211,temporal
665,0,0.3889455199241638,negation
666,0,0.3892962634563446,negation
667,0,0.38917773962020874,negation
668,1,0.38888925313949585,negation
669,0,0.3889954686164856,negation
670,1,0.38899892568588257,negation
671,0,0.3890617787837982,negation
672,0,0.38913047313690186,negation
673,0,0.3890302777290344,negation
674,1,0.38902223110198975,negation
675,0,0.38905125856399536,negation
676,0,0.38915181159973145,negation
677,0,0.3889436423778534,negation
678,0,0.3890922963619232,negation
679,0,0.3889331817626953,negation
680,0,0.38911670446395874,negation
681,1,0.38896143436431885,negation
682,0,0.3890392780303955,negation
683,1,0.38906151056289673,negation
684,1,0.38893651962280273,negation
685,0,0.38906344771385193,negation
686,0,0.3891523480415344,negation
687,1,0.3891162872314453,negation
688,0,0.389039546251297,negation
689,1,0.38892436027526855,negation
690,0,0.38907042145729065,negation
691,0,0.389008492231369,negation
692,0,0.38909202814102173,short sentence with negation + postive adjective
693,0,0.38910749554634094,short sentence with negation + postive adjective
694,0,0.38905054330825806,short sentence with negation + postive adjective
695,0,0.3891054391860962,short sentence with negation + postive adjective
696,0,0.3890842795372009,short sentence with negation + postive adjective
697,0,0.3890458047389984,short sentence with negation + postive adjective
698,0,0.38902097940444946,short sentence with negation + postive adjective
699,0,0.38902097940444946,short sentence with negation + postive adjective
700,0,0.38902097940444946,short sentence with negation + postive adjective
701,0,0.38902097940444946,short sentence with negation + postive adjective
702,0,0.38902097940444946,short sentence with negation + postive adjective
703,0,0.38902097940444946,short sentence with negation + postive adjective
704,0,0.3890458047389984,short sentence with negation + postive adjective
705,0,0.38902097940444946,short sentence with negation + postive adjective
706,0,0.38902097940444946,short sentence with negation + postive adjective
707,0,0.3890440762042999,short sentence with negation + postive adjective
708,0,0.3890574872493744,short sentence with negation + postive adjective
709,0,0.3890147805213928,short sentence with negation + postive adjective
710,0,0.3890659213066101,short sentence with negation + postive adjective
711,0,0.3890461027622223,short sentence with negation + postive adjective
712,0,0.38900071382522583,short sentence with negation + postive adjective
713,0,0.3889719247817993,short sentence with negation + postive adjective
714,0,0.3889719247817993,short sentence with negation + postive adjective
715,0,0.3889719247817993,short sentence with negation + postive adjective
716,0,0.3889719247817993,short sentence with negation + postive adjective
717,0,0.3889719247817993,short sentence with negation + postive adjective
718,0,0.3889719247817993,short sentence with negation + postive adjective
719,0,0.38900071382522583,short sentence with negation + postive adjective
720,0,0.3889719247817993,short sentence with negation + postive adjective
721,0,0.3889719247817993,short sentence with negation + postive adjective
722,1,0.3889988660812378,sentiment change over time
723,1,0.38893401622772217,sentiment change over time
724,1,0.3889620900154114,sentiment change over time
725,1,0.38896283507347107,sentiment change over time
726,1,0.38889506459236145,sentiment change over time
727,1,0.3889200687408447,sentiment change over time
728,1,0.38896283507347107,sentiment change over time
729,1,0.38889506459236145,sentiment change over time
730,1,0.3889200687408447,sentiment change over time
731,1,0.3890092372894287,sentiment change over time
732,1,0.38894835114479065,sentiment change over time
733,1,0.38897621631622314,sentiment change over time
734,1,0.3889850974082947,sentiment change over time
735,1,0.3889209032058716,sentiment change over time
736,1,0.38894811272621155,sentiment change over time
737,1,0.3889850974082947,sentiment change over time
738,1,0.3889209032058716,sentiment change over time
739,1,0.38894811272621155,sentiment change over time
740,1,0.38901105523109436,sentiment change over time
741,1,0.38894355297088623,sentiment change over time
742,1,0.38897252082824707,sentiment change over time
743,1,0.38897189497947693,sentiment change over time
744,1,0.38890141248703003,sentiment change over time
745,1,0.3889264464378357,sentiment change over time
746,1,0.38897189497947693,sentiment change over time
747,1,0.38890141248703003,sentiment change over time
748,1,0.3889264464378357,sentiment change over time
749,0,0.3889772593975067,sentiment change over time
750,0,0.3889160454273224,sentiment change over time
751,0,0.38894253969192505,sentiment change over time
752,0,0.38894370198249817,sentiment change over time
753,0,0.38888007402420044,sentiment change over time
754,0,0.388904333114624,sentiment change over time
755,0,0.38894370198249817,sentiment change over time
756,0,0.38888007402420044,sentiment change over time
757,0,0.388904333114624,sentiment change over time
758,0,0.3889877498149872,sentiment change over time
759,0,0.38892996311187744,sentiment change over time
760,0,0.3889563977718353,sentiment change over time
761,0,0.3889642357826233,sentiment change over time
762,0,0.3889036774635315,sentiment change over time
763,0,0.38892942667007446,sentiment change over time
764,0,0.3889642357826233,sentiment change over time
765,0,0.3889036774635315,sentiment change over time
766,0,0.38892942667007446,sentiment change over time
767,0,0.3889884650707245,sentiment change over time
768,0,0.38892513513565063,sentiment change over time
769,0,0.388952374458313,sentiment change over time
770,0,0.3889525830745697,sentiment change over time
771,0,0.3888866603374481,sentiment change over time
772,0,0.38891100883483887,sentiment change over time
